"obs" "date_surv" "gen" "date_birth" "region" "occup" "income" "single" "use" "intens"
1 2016-11-12 "m" 1998-03-11 "Bangkok" "blue collar" 1906 1 1 5
2 2016-11-23 "f" 1998-03-11 "NorthEast" "school" 0 1 0 0
3 2016-11-07 "f" 1992-04-11 "NorthEast" "white collar" 3592 0 0 0
4 2016-12-07 "m" 2001-02-23 "Central" "school" 0 0 0 0
5 2016-11-11 "m" 2001-02-23 "NorthEast" "school" 0 1 0 0
6 2016-11-13 "f" 1990-04-22 "East" "blue collar" 712 0 1 1
7 2016-11-19 "f" 1992-04-11 "Bangkok" "blue collar" 2679 1 1 3
8 2016-12-01 "m" 1976-07-04 "Bangkok" "blue collar" 2313 0 0 0
9 2016-11-06 "f" 1982-06-03 "NorthEast" "unempl" 0 1 0 0
10 2016-10-29 "f" 1983-05-29 "Central" "blue collar" 1254 1 1 6
11 2016-11-28 "m" 1995-03-27 "NorthEast" "blue collar" 223 1 0 0
12 2016-11-21 "f" 1986-05-13 "East" "white collar" 226 0 1 1
13 2016-11-27 "m" 1978-06-24 "Bangkok" "blue collar" 1456 0 0 0
14 2016-11-30 "f" 1986-05-13 "Bangkok" "blue collar" 1996 0 0 0
15 2016-11-19 "f" 1996-03-21 "NorthEast" "blue collar" 159 1 1 2
16 2016-11-12 "m" 2005-02-02 "Central" "school" 0 1 1 3
17 2016-11-10 "m" 1993-04-06 "NorthEast" "blue collar" 1263 1 0 0
18 2016-12-07 "f" 1991-04-17 "Bangkok" "blue collar" 4293 0 1 2
19 2016-11-14 "f" 2003-02-13 "Bangkok" "school" 0 1 1 4
20 2016-11-22 "f" 2006-01-28 "East" "school" 0 1 0 0
21 2016-11-26 "f" 2008-01-18 "East" "school" 0 1 1 8
22 2016-11-03 "m" 1989-04-27 "Bangkok" "blue collar" 1960 1 0 0
23 2016-11-29 "m" 2008-01-18 "Central" "school" 0 1 0 0
24 2016-12-04 "m" 1988-05-02 "NorthEast" "blue collar" 1108 0 0 0
25 2016-11-21 "m" 1981-06-08 "Bangkok" "blue collar" 3331 1 0 0
26 2016-11-29 "m" 1975-07-10 "Bangkok" "blue collar" 598 0 0 0
27 2016-12-02 "f" 2008-01-18 "Central" "school" 0 1 0 0
28 2016-11-03 "f" 1994-04-01 "NorthEast" "univ" 0 0 0 0
29 2016-11-11 "m" 1983-05-29 "NorthEast" "white collar" 8659 0 0 0
30 2016-10-29 "m" 1997-03-16 "Bangkok" "blue collar" 2271 1 1 2
31 2016-11-18 "f" 1992-04-11 "Central" "blue collar" 2523 1 1 4
32 2016-11-17 "m" 1993-04-06 "Bangkok" "blue collar" 653 0 1 1
33 2016-11-19 "f" 2000-02-29 "Bangkok" "blue collar" 1948 1 1 5
34 2016-12-05 "m" 1998-03-11 "Central" "school" 0 1 0 0
35 2016-11-04 "m" 1990-04-22 "NorthEast" "unempl" 0 1 0 0
36 2016-11-21 "f" 1973-07-20 "South" "blue collar" 567 1 0 0
37 2016-11-20 "m" 1997-03-16 "NorthEast" "univ" 0 1 0 0
38 2016-11-10 "m" 2002-02-18 "East" "school" 0 1 1 6
39 2016-11-15 "m" 1991-04-17 "South" "blue collar" 1903 1 1 3
40 2016-11-28 "m" 1997-03-16 "East" "blue collar" 1731 1 0 0
41 2016-12-08 "f" 1968-08-15 "East" "white collar" 3666 0 0 0
42 2016-11-25 "m" 2007-01-23 "Central" "school" 0 1 1 6
43 2016-11-05 "f" 1993-04-06 "Bangkok" "blue collar" 851 1 1 3
44 2016-11-16 "f" 1980-06-13 "Central" "blue collar" 3835 0 0 0
45 2016-12-08 "m" 1986-05-13 "NorthEast" "blue collar" 1254 1 0 0
46 2016-11-29 "m" 1982-06-03 "NorthEast" "white collar" 4850 0 0 0
47 2016-12-08 "f" 1992-04-11 "East" "blue collar" 2290 1 1 2
48 2016-12-01 "m" 1989-04-27 "Bangkok" "white collar" 6319 1 0 0
49 2016-12-04 "m" 1986-05-13 "South" "blue collar" 1201 1 1 2
50 2016-12-01 "m" 2006-01-28 "Bangkok" "school" 0 1 0 0
51 2016-11-17 "f" 1997-03-16 "NorthEast" "blue collar" . 1 0 0
52 2016-12-02 "m" 1987-05-08 "NorthEast" "blue collar" 3207 0 0 0
53 2016-11-27 "m" 1992-04-11 "South" "blue collar" 93 1 1 2
54 2016-11-21 "f" 2007-01-23 "Bangkok" "school" 0 1 0 0
55 2016-11-11 "f" 1981-06-08 "NorthEast" "blue collar" 3315 1 0 0
56 2016-11-07 "m" 2007-01-23 "NorthEast" "school" 0 1 1 8
57 2016-11-30 "f" 1986-05-13 "Central" "blue collar" 1407 1 1 5
58 2016-11-19 "m" 1992-04-11 "Bangkok" "blue collar" 2696 1 1 7
59 2016-11-04 "m" 1982-06-03 "NorthEast" "blue collar" 1347 0 0 0
60 2016-12-01 "f" 1971-07-31 "Bangkok" "unempl" 0 0 0 0
61 2016-11-09 "f" 1986-05-13 "Central" "blue collar" 1631 1 1 2
62 2016-12-05 "m" 1988-05-02 "Bangkok" "blue collar" 3465 0 0 0
63 2016-11-14 "m" 2005-02-02 "South" "school" 0 1 1 1
64 2016-11-25 "m" 1984-05-23 "North" "unempl" 0 1 0 0
65 2016-11-01 "m" 1989-04-27 "NorthEast" "blue collar" 3870 0 1 2
66 2016-11-30 "m" 2001-02-23 "Bangkok" "school" 0 1 1 2
67 2016-11-10 "f" 2005-02-02 "NorthEast" "school" 0 1 1 4
68 2016-11-27 "m" 1990-04-22 "NorthEast" "white collar" 6584 0 0 0
69 2016-11-24 "f" 1983-05-29 "NorthEast" "white collar" 2727 0 1 1
70 2016-11-23 "f" 1983-05-29 "South" "blue collar" 1111 1 1 2
71 2016-11-18 "f" 2007-01-23 "Central" "school" 0 1 1 2
72 2016-12-04 "m" 2002-02-18 "Central" "school" 0 0 0 0
73 2016-12-06 "m" 1993-04-06 "South" "blue collar" 680 1 1 10
74 2016-11-17 "m" 1993-04-06 "NorthEast" "unempl" 0 1 0 0
75 2016-12-07 "m" 1999-03-06 "Bangkok" "school" 0 1 1 7
76 2016-11-14 "m" 2004-02-08 "North" "school" 0 1 0 0
77 2016-11-16 "m" 1988-05-02 "Bangkok" "unempl" 0 1 1 4
78 2016-11-08 "m" 2009-01-12 "Bangkok" "school" 0 1 1 4
79 2016-11-28 "f" 1993-04-06 "Central" "univ" 0 1 1 2
80 2016-11-13 "m" 1991-04-17 "Central" "blue collar" 1360 1 1 2
81 2016-11-26 "m" 1998-03-11 "Bangkok" "blue collar" 1956 0 1 1
82 2016-11-24 "f" 2002-02-18 "Bangkok" "school" 0 1 1 12
83 2016-11-03 "f" 1990-04-22 "Bangkok" "white collar" 2011 1 1 9
84 2016-11-28 "m" 1996-03-21 "Central" "unempl" 0 1 1 2
85 2016-11-16 "m" 1982-06-03 "Bangkok" "white collar" 5021 0 0 0
86 2016-12-05 "f" 1973-07-20 "NorthEast" "white collar" 4638 1 0 0
87 2016-11-26 "f" 1983-05-29 "NorthEast" "blue collar" 3107 0 0 0
88 2016-11-11 "f" 1993-04-06 "NorthEast" "unempl" 0 1 0 0
89 2016-12-07 "f" 1995-03-27 "NorthEast" "unempl" 0 1 0 0
90 2016-11-13 "m" 2002-02-18 "Bangkok" "school" 0 1 1 4
91 2016-11-07 "f" 2005-02-02 "Central" "school" 0 1 0 0
92 2016-11-13 "f" 1999-03-06 "South" "school" 0 1 0 0
93 2016-11-27 "f" 1996-03-21 "East" "univ" 0 0 1 2
94 2016-12-07 "m" 1983-05-29 "Central" "blue collar" 1307 1 0 0
95 2016-11-18 "f" 1987-05-08 "NorthEast" "white collar" 3340 1 0 0
96 2016-11-01 "m" 1975-07-10 "NorthEast" "white collar" 749 1 0 0
97 2016-12-07 "f" 1996-03-21 "South" "univ" 0 1 1 8
98 2016-11-23 "m" 1982-06-03 "Bangkok" "blue collar" 1310 0 0 0
99 2016-11-01 "m" 1993-04-06 "NorthEast" "unempl" 0 1 0 0
100 2016-11-21 "f" 2007-01-23 "Bangkok" "school" 0 1 0 0
101 2016-11-06 "f" 1992-04-11 "Bangkok" "blue collar" 2429 0 1 2
102 2016-12-10 "f" 1989-04-27 "North" "white collar" 2906 0 0 0
103 2016-11-30 "f" 1990-04-22 "North" "white collar" 5417 0 0 0
104 2016-12-07 "m" 1991-04-17 "South" "blue collar" 1194 1 1 5
105 2016-12-04 "m" 1991-04-17 "Central" "white collar" 6094 1 1 13
106 2016-11-29 "f" 1981-06-08 "Bangkok" "blue collar" 1121 0 0 0
107 2016-11-03 "f" 1990-04-22 "NorthEast" "white collar" 8466 0 0 0
108 2016-11-05 "m" 1978-06-24 "NorthEast" "blue collar" 3234 0 0 0
